name,status,taxa,state_count
Elizabeth Springs Goby,Endangered,Fish,1
Edgbaston Goby,Vulnerable,Fish,1
Manypeaks Rush,Endangered,Plants,1
Spiked Sour-bush,Endangered,Plants,1
Prostrate Flame Pea,Endangered,Plants,1
Limestone Pea,Endangered,Plants,1
"Lord Howe Island Gecko, Lord Howe Island Southern Gecko",Vulnerable,Reptiles,1
"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,Birds,1
-,Critically Endangered,Plants,1
"a creeper, Clematis",Critically Endangered,Plants,0
Stream Clematis,Vulnerable,Plants,2
Brown Treecreeper (south-eastern),Vulnerable,Birds,4
"Slender Bell-fruit, Camel Poison",Vulnerable,Plants,2
Three-toed Snake-tooth Skink,Vulnerable,Reptiles,2
Hidden Coleanthera,Extinct,Plants,1
Millmerran Mint Bush,Critically Endangered,Plants,1
Curtis' Colobanth,Vulnerable,Plants,1
"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,Birds,1
Byfield Matchstick,Vulnerable,Plants,1
Many-flowered Commersonia,Critically Endangered,Plants,1
Trigwell's Rulingia,Endangered,Plants,1
Dwarf Kerrawang,Endangered,Plants,2
"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,Mammals,4
Capricorn Rabbit-rat,Extinct,Mammals,1
"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,Mammals,3
One-headed Smokebush,Endangered,Plants,1
-,Critically Endangered,Plants,1
Variable Smoke-bush,Vulnerable,Plants,1
-,Critically Endangered,Plants,1
Wavy-leaved Smokebush,Vulnerable,Plants,1
Irwin's Conostylis,Endangered,Plants,1
Drummond's Conostylis,Endangered,Plants,1
Sedge Conostylis,Endangered,Plants,1
Small-flowered Conostylis,Endangered,Plants,1
Grass Conostylis,Endangered,Plants,1
"Kulin Conostylis, Single-flowered Conostylis",Vulnerable,Plants,1
Hairy Mat Conostylis,Endangered,Plants,1
Boscabel Conostylis,Critically Endangered,Plants,1
Wongan Conostylis,Endangered,Plants,1
Mauve Coopernookia,Endangered,Plants,1
-,Vulnerable,Plants,1
Tapping Nursery-frog,Endangered,Frogs,1
Elegant Frog,Critically Endangered,Frogs,1
"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,Frogs,1
"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,Frogs,1
Mountain-top Nursery-frog,Critically Endangered,Frogs,1
"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,Frogs,1
Coastal Coprosma,Endangered,Plants,0
Mountain Coprosma,Endangered,Plants,0
Native Jute,Endangered,Plants,2
Ti,Vulnerable,Plants,0
a beetle,Critically Endangered,Invertebrates,1
-,Endangered,Plants,1
Chef's Cap,Vulnerable,Plants,1
Hindmarsh Correa,Vulnerable,Plants,1
Deep Creek Correa,Endangered,Plants,1
Genoa River Correa,Endangered,Plants,2
"Short-spiked Midge-orchid, Rocky Cape Midge Orchid",Endangered,Plants,1
