lat,lon,group,n
-35.97,139.99,Plants,28
-30.47,152.72,Birds,27
-35.18,150.51,Birds,27
-37.85,143.25,Mammals,26
-38.32,144.24,Plants,26
-28.14,152.79,Birds,25
-41.28,146.15,Mammals,25
-33.71,144.58,Birds,25
-22.68,134.15,Birds,25
-32.27,152.16,Birds,25
-28.6,153.19,Mammals,24
-36.08,148.47,Amphibians,24
-32.0,151.52,Birds,24
-35.43,149.06,Reptiles,24
-34.23,150.32,Birds,23
-29.82,153.42,Birds,23
-37.85,143.25,Plants,23
-30.33,151.2,Birds,23
-29.47,151.39,Birds,23
-33.6,138.73,Plants,22
-36.54,142.17,Birds,22
-25.1,152.81,Mammals,22
-11.99,134.58,Birds,22
-29.25,153.26,Mammals,21
-28.17,153.68,Birds,21
-11.3,132.24,Mammals,21
-34.87,149.96,Birds,21
-34.22,151.01,Amphibians,20
-30.43,152.93,Birds,20
-38.62,143.67,Birds,20
-32.48,138.27,Plants,20
-35.77,139.22,Plants,20
-28.42,153.61,Mammals,20
-28.73,151.98,Birds,20
-36.95,140.41,Birds,20
-24.69,133.26,Birds,20
-34.7,116.16,Amphibians,19
-30.57,151.78,Birds,19
-20.58,139.74,Birds,19
-15.61,128.48,Birds,19
-36.27,146.83,Mammals,19
-37.46,141.89,Mammals,19
-30.59,151.39,Birds,18
-41.88,146.31,Mammals,18
-36.28,149.39,Birds,18
-34.8,145.15,Amphibians,18
-29.53,141.88,Plants,18
-30.01,148.62,Birds,18
-24.98,114.58,Birds,18
-35.27,150.66,Amphibians,17
-34.07,119.13,Birds,17
-21.49,119.31,Birds,17
-27.77,150.91,Birds,17
-29.65,138.73,Mammals,17
-34.23,119.15,Plants,17
-36.32,144.93,Mammals,17
-28.79,116.94,Birds,16
-34.14,148.38,Plants,16
-25.7,152.28,Birds,16
-42.87,146.66,Birds,16
-15.53,125.63,Birds,16
-33.14,149.99,Plants,16
-31.06,150.13,Birds,16
-32.42,144.47,Birds,16
-29.01,148.35,Birds,16
-26.65,117.0,Birds,16
-34.15,116.65,Amphibians,16
-35.97,139.99,Birds,16
-26.67,151.87,Birds,16
-22.82,131.55,Birds,15
-36.08,148.47,Mammals,15
-40.45,144.53,Mammals,15
-38.43,146.16,Birds,15
-32.37,152.3,Mammals,15
-22.33,127.18,Birds,15
-31.89,150.28,Birds,15
-37.46,141.89,Reptiles,15
-33.74,136.26,Birds,14
-30.5,151.07,Birds,14
-14.31,141.88,Birds,14
-38.39,146.26,Mammals,14
-31.8,151.8,Birds,14
-37.61,140.83,Mammals,14
